iteration,timestamp,num_pareto,num_history,Nov_P_mean,Nov_H_mean,Rep_mean,IER_mean,pareto_pool_size,active_history_size
560,1787683482.6826282,142,963,0.000000,0.000000,0.000000,0.000000,142,964
565,1787684704.6873443,146,984,0.000000,0.000000,0.000000,0.000000,146,985
570,1787685460.3979666,147,992,0.000000,0.000000,0.000000,0.000000,147,993
575,1787686212.856957,148,1000,0.000000,0.000000,0.000000,0.000000,148,1000
580,1787687079.0093467,148,1009,0.000000,0.000000,0.000000,0.000000,148,1000
585,1787687785.7422397,149,1024,0.000000,0.000000,0.000000,0.000000,149,1000
590,1787688696.6678593,149,1030,0.000000,0.000000,0.000000,0.000000,149,1000
595,1787689674.7459333,150,1043,0.000000,0.000000,0.000000,0.000000,150,1000
600,1787690411.6633015,150,1050,0.000000,0.000000,0.000000,0.000000,150,1000
605,1787691357.360179,152,1057,0.000000,0.000000,0.000000,0.000000,152,1000
610,1787691940.3498185,155,1067,0.000000,0.000000,0.000000,0.000000,155,1000
615,1787692769.5119505,155,1073,0.000000,0.000000,0.000000,0.000000,155,1000
620,1787693826.1095946,159,1088,0.000000,0.000000,0.000000,0.000000,159,1000
625,1787694691.848629,159,1094,0.000000,0.000000,0.000000,0.000000,159,1000
630,1787695498.3774946,160,1106,0.000000,0.000000,0.000000,0.000000,160,1000
635,1787696257.5082493,160,1114,0.000000,0.000000,0.000000,0.000000,160,1000
640,1787696759.879206,162,1125,0.000000,0.000000,0.000000,0.000000,162,1000
645,1787697552.3884413,162,1134,0.000000,0.000000,0.000000,0.000000,162,1000
650,1787698127.5510013,162,1143,0.000000,0.000000,0.000000,0.000000,162,1000
655,1787699292.7878494,162,1149,0.000000,0.000000,0.000000,0.000000,162,1000
660,1787700239.4145665,162,1159,0.000000,0.000000,0.000000,0.000000,162,1000
665,1787700977.8886914,163,1170,0.000000,0.000000,0.000000,0.000000,163,1000
670,1787701862.4643414,164,1175,0.000000,0.000000,0.000000,0.000000,164,1000
675,1787702690.5010798,164,1189,0.000000,0.000000,0.000000,0.000000,164,1000
680,1787703387.7636373,165,1199,0.000000,0.000000,0.000000,0.000000,165,1000
685,1787704198.7152429,165,1207,0.000000,0.000000,0.000000,0.000000,165,1000
690,1787704899.8829474,167,1212,0.000000,0.000000,0.000000,0.000000,167,1000
695,1787705625.8569403,168,1220,0.000000,0.000000,0.000000,0.000000,168,1000
700,1787705794.677988,168,1229,0.000000,0.000000,0.000000,0.000000,168,1000
705,1787705853.7604513,168,1234,0.000000,0.000000,0.000000,0.000000,168,1000
710,1787705929.4118142,168,1240,0.000000,0.000000,0.000000,0.000000,168,1000
715,1787706008.2106233,168,1245,0.000000,0.000000,0.000000,0.000000,168,1000
720,1787706074.4091902,168,1250,0.000000,0.000000,0.000000,0.000000,168,1000
725,1787706169.002832,168,1257,0.000000,0.000000,0.000000,0.000000,168,1000
730,1787706247.463668,168,1262,0.000000,0.000000,0.000000,0.000000,168,1000
735,1787706324.8177023,168,1267,0.000000,0.000000,0.000000,0.000000,168,1000
740,1787706405.9502296,168,1273,0.000000,0.000000,0.000000,0.000000,168,1000
745,1787706488.9678912,168,1279,0.000000,0.000000,0.000000,0.000000,168,1000
750,1787706559.2696507,168,1284,0.000000,0.000000,0.000000,0.000000,168,1000
755,1787706631.143653,168,1289,0.000000,0.000000,0.000000,0.000000,168,1000
760,1787706716.6479096,168,1294,0.000000,0.000000,0.000000,0.000000,168,1000
765,1787706789.9389873,168,1300,0.000000,0.000000,0.000000,0.000000,168,1000
770,1787706867.6365128,168,1305,0.000000,0.000000,0.000000,0.000000,168,1000
775,1787706951.8605332,168,1311,0.000000,0.000000,0.000000,0.000000,168,1000
780,1787707272.902848,168,1318,0.000000,0.000000,0.000000,0.000000,168,1000
785,1787707702.614158,168,1324,0.000000,0.000000,0.000000,0.000000,168,1000
790,1787708140.7189298,168,1331,0.000000,0.000000,0.000000,0.000000,168,1000
795,1787708702.8742712,168,1338,0.000000,0.000000,0.000000,0.000000,168,1000
800,1787709128.1239986,168,1344,0.000000,0.000000,0.000000,0.000000,168,1000
805,1787709424.8882573,168,1350,0.000000,0.000000,0.000000,0.000000,168,1000
810,1787710233.457637,168,1358,0.000000,0.000000,0.000000,0.000000,168,1000
815,1787710735.1408212,169,1368,0.000000,0.000000,0.000000,0.000000,169,1000
820,1787711163.638956,170,1379,0.000000,0.000000,0.000000,0.000000,170,1000
825,1787711775.614473,170,1390,0.000000,0.000000,0.000000,0.000000,170,1000
830,1787712445.587873,170,1398,0.000000,0.000000,0.000000,0.000000,170,1000
835,1787713072.8606942,170,1411,0.000000,0.000000,0.000000,0.000000,170,1000
840,1787713679.7169087,170,1425,0.000000,0.000000,0.000000,0.000000,170,1000
845,1787714528.9184668,171,1431,0.000000,0.000000,0.000000,0.000000,171,1000
850,1787715578.973137,173,1447,0.000000,0.000000,0.000000,0.000000,173,1000
855,1787716307.4769077,173,1460,0.000000,0.000000,0.000000,0.000000,173,1000
860,1787717049.8472672,174,1467,0.000000,0.000000,0.000000,0.000000,174,1000
865,1787717513.2522547,175,1479,0.000000,0.000000,0.000000,0.000000,175,1000
870,1787718349.725037,176,1486,0.000000,0.000000,0.000000,0.000000,176,1000
875,1787719322.0310867,177,1497,0.000000,0.000000,0.000000,0.000000,177,1000
880,1787720441.6777625,177,1506,0.000000,0.000000,0.000000,0.000000,177,1000
885,1787720923.9945295,178,1518,0.000000,0.000000,0.000000,0.000000,178,1000
890,1787721409.0180314,179,1528,0.000000,0.000000,0.000000,0.000000,179,1000
895,1787722013.979101,179,1539,0.000000,0.000000,0.000000,0.000000,179,1000
900,1787722967.9064417,181,1549,0.000000,0.000000,0.000000,0.000000,181,1000
905,1787723395.4486206,182,1557,0.000000,0.000000,0.000000,0.000000,182,1000
910,1787724523.966835,183,1566,0.000000,0.000000,0.000000,0.000000,183,1000
915,1787725124.002555,183,1575,0.000000,0.000000,0.000000,0.000000,183,1000
920,1787726076.7135737,184,1586,0.000000,0.000000,0.000000,0.000000,184,1000
925,1787727411.7256398,185,1605,0.000000,0.000000,0.000000,0.000000,185,1000
930,1787727955.7580962,186,1614,0.000000,0.000000,0.000000,0.000000,186,1000
935,1787728886.8022728,187,1622,0.000000,0.000000,0.000000,0.000000,187,1000
940,1787729873.4159,188,1628,0.000000,0.000000,0.000000,0.000000,188,1000
945,1787730283.2788897,188,1637,0.000000,0.000000,0.000000,0.000000,188,1000
950,1787730949.8068902,190,1648,0.000000,0.000000,0.000000,0.000000,190,1000
955,1787732472.6608531,191,1657,0.000000,0.000000,0.000000,0.000000,191,1000
960,1787733258.1690626,191,1668,0.000000,0.000000,0.000000,0.000000,191,1000
965,1787733919.4892828,192,1679,0.000000,0.000000,0.000000,0.000000,192,1000
970,1787734527.8559208,192,1690,0.000000,0.000000,0.000000,0.000000,192,1000
