chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL3676168,CC(C)c1ncc2c(=O)[nH]c3cc(Cl)ccc3n12,IC50,1259.0,nM,5.9,-8.2
CHEMBL3676173,O=C(c1cc2[nH]c(=O)c3cnc(C4CCCCC4)n3c2cc1Cl)N1CCN(CCO)CC1,IC50,7544.0,nM,5.12,-9.1
CHEMBL3676174,O=C(O)CCc1ncc2c(=O)[nH]c3cc(Br)ccc3n12,IC50,2814.0,nM,5.55,-9.0
CHEMBL3676176,O=C(O)CCc1ncc2c(=O)[nH]c3cc(C(F)(F)F)ccc3n12,IC50,6371.0,nM,5.2,-9.8
CHEMBL3676177,O=C(O)/C=C/c1ccc2c(=O)[nH]c3cc(C(F)(F)F)ccc3n12,IC50,4561.0,nM,5.34,-10.3
CHEMBL512790,CC(C)c1n[nH]c2c(=O)[nH]c(Cc3cccc(Cl)c3)nc12,IC50,1337.0,nM,5.87,-10.8
CHEMBL3654361,COc1ccc(COc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ccccc2)cc1Cl,IC50,0.1721,nM,9.76,-9.3
CHEMBL3654365,COc1ccc(COc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ccc(F)cc2)cc1Cl,IC50,0.075,nM,10.12,-9.2
CHEMBL3654362,COc1ccc(COc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ncccn2)cc1Cl,IC50,0.1,nM,10.0,-8.8
CHEMBL3654363,COc1ccc(COc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ccccn2)cc1Cl,IC50,0.028,nM,10.55,-10.5
CHEMBL3639532,COc1ccc(COc2nc(N3C4CCC3COC4)ncc2C(=O)NCc2ccccc2)cc1Cl,IC50,4.013,nM,8.4,-9.8
CHEMBL3654366,COc1ccc(COc2nc(N3CC4CC4C3)ncc2C(=O)N[C@H]2CC[C@H](O)CC2)cc1Cl,IC50,0.7389,nM,9.13,-10.1
CHEMBL3654367,COc1ccc(COc2nc(N3CCC4(CC3)CC4)ncc2C(=O)NCc2ncccn2)cc1Cl,IC50,0.4765,nM,9.32,-9.5
CHEMBL3654364,COc1ccc(COc2nc(N3CC4CC4C3)ncc2C(=O)NCc2cnc(C)cn2)cc1Cl,IC50,0.5287,nM,9.28,-8.7
CHEMBL3654368,COc1ccc(COc2nc(N3CCC4(CC3)CC4)ncc2C(=O)NCc2ccccn2)cc1Cl,IC50,0.1858,nM,9.73,-10.0
CHEMBL3654372,COc1ccc(COc2nc(N3CC4CC4C3)ncc2C(=O)NCCN2CCOCC2)cc1Cl,IC50,0.2127,nM,9.67,-8.9
CHEMBL3654373,COc1ccc(COc2nc(N3CCCC34CC4)ncc2C(=O)NCc2ccccc2)cc1Cl,IC50,1.976,nM,8.7,-11.1
CHEMBL3654374,COc1ccc(COc2nc(N3CCC4(CC4)C3)ncc2C(=O)NCc2ccccc2)cc1Cl,IC50,0.1188,nM,9.93,-9.4
CHEMBL3654375,COc1ccc(COc2nc(N3CCC4(CC4)C3)ncc2C(=O)NCc2ccc(F)cc2)cc1Cl,IC50,2.077,nM,8.68,-9.2
CHEMBL3654376,COc1ccc(COc2nc(N3CCC4(CC4)C3)ncc2C(=O)NCc2ncccn2)cc1Cl,IC50,1.44,nM,8.84,-9.4
CHEMBL3654377,COc1ccc(COc2nc(N3CCC4(CC4)C3)ncc2C(=O)N[C@H]2CC[C@H](O)CC2)cc1Cl,IC50,4.079,nM,8.39,-10.6
CHEMBL3703682,CC1(C)C(=O)Nc2nc(-n3nc(Cc4c(F)ccc(F)c4F)c4cc(Cl)ccc43)ncc21,IC50,3700.0,nM,5.43,-8.4
CHEMBL3703684,CC1(C)C(=O)Nc2nc(-n3nc(Cc4ccccc4F)c4ccccc43)ncc21,IC50,440.0,nM,6.36,-10.5
CHEMBL3703686,CC1(C)C(=O)Nc2nc(-n3nc(Cc4ccccc4F)c4cc(F)ccc43)ncc21,IC50,400.0,nM,6.4,-10.8
