chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL4206288,CN1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,IC50,2.1,nM,8.68,-9.947
CHEMBL4229213,O=C(N/N=C/c1cccs1)N1CCc2ncnc(Nc3ccc(F)c(Cl)c3)c2C1,IC50,62.5,nM,7.2,-9.051
CHEMBL4227281,Cc1ccc(/C=N/NC(=O)N2CCc3ncnc(Nc4cccc(C(F)(F)F)c4)c3C2)cc1,IC50,24.2,nM,7.62,-10.416
CHEMBL4226965,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)c1,IC50,48.0,nM,7.32,-8.903
CHEMBL4227812,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(OC)cc3OC)n2)c1,IC50,58.0,nM,7.24,-8.376
CHEMBL4229010,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N(CC)CC)cc3OC)n2)c1,IC50,12.0,nM,7.92,-8.24
CHEMBL4225517,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N(C)C)cc3)n2)c1,IC50,170.0,nM,6.77,-8.593
CHEMBL4227278,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,IC50,87.0,nM,7.06,-9.015
CHEMBL4226702,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCOCC4)cc3OC)n2)c1,IC50,15.0,nM,7.82,-8.971
CHEMBL4227490,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccccc3OC)n2)c1,IC50,192.0,nM,6.72,-8.624
CHEMBL4225571,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(C4CCN(C)CC4)cc3)n2)c1,IC50,510.0,nM,6.29,-9.724
CHEMBL4228018,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(OCCOC)cc3)n2)c1,IC50,266.0,nM,6.58,-7.986
CHEMBL4246256,Oc1cccc(Nc2nnnc3sc4c(c23)CCC4)c1,IC50,52110.0,nM,4.28,-9.383
CHEMBL4251297,Oc1ccc(Nc2nnnc3sc4c(c23)CCC4)cc1,IC50,38730.0,nM,4.41,-8.825
CHEMBL47173,O=C1Nc2ccccc2/C1=C/c1ccc(-c2cccs2)s1,IC50,10100.0,nM,5.0,-8.569
CHEMBL172517,CCOc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,IC50,31800.0,nM,4.5,-8.337
CHEMBL4241867,O=C(N/N=C1\CC2(CCCC2)Oc2ccccc21)Nc1ccc(Cl)cc1,IC50,1900.0,nM,5.72,-10.336
CHEMBL4245415,Cc1coc2ncnc(N(C)c3ccc(N(C)C)cc3)c12,IC50,3.1,nM,8.51,-7.746
CHEMBL4250210,CNc1ccc(N(C)c2ncnc3occ(C)c23)cc1,IC50,6.4,nM,8.19,-7.558
CHEMBL4239716,CSc1ccc(N(C)c2ncnc3occ(C)c23)cc1,IC50,7.2,nM,8.14,-7.635
CHEMBL4242522,CCc1ccc(N(C)c2ncnc3occ(C)c23)cc1,IC50,4.0,nM,8.4,-7.829
CHEMBL4237916,CCCN(c1ccc(OC)cc1)c1ncnc2occ(C)c12,IC50,7.1,nM,8.15,-7.188
CHEMBL4250273,COc1ccc(N(c2ncnc3occ(C)c23)C(C)C)cc1,IC50,10.1,nM,8.0,-7.457
